,logFC,AveExpr,t,P.Value,adj.P.Val,B,tag
ENSSSCT00000099666,0.126221439,6.258427289,0.421150059,0.679757731,0.877291534,-6.734785279,ns
ENSSSCT00000077644,0.041189191,6.123788798,0.126891237,0.90075132,0.966917954,-6.735029615,ns
ENSSSCT00000063198,-0.06624921,6.157272468,-0.230420433,0.820951021,0.939407683,-6.735353856,ns
ENSSSCT00000063300,0.18654683,6.468659425,0.645122364,0.528820069,0.794273447,-6.735388808,ns
ENSSSCT00000008849,0.15520105,6.401265924,0.582793686,0.568892962,0.818328889,-6.735515823,ns
ENSSSCT00000048704,0.074453297,6.142769057,0.217815249,0.830577137,0.943346828,-6.735526412,ns
ENSSSCT00000003359,-0.123264827,6.276633327,-0.419390794,0.681014168,0.877462629,-6.735691789,ns
ENSSSCT00000039870,-0.168222686,6.532856585,-0.666617587,0.515376127,0.787234946,-6.736129929,ns
ENSSSCT00000041764,0.254789812,6.901186638,0.929886482,0.367496619,0.669591513,-6.736301346,ns
ENSSSCT00000037062,0.221923,6.752765356,0.844668839,0.411874958,0.710360145,-6.736325366,ns
ENSSSCT00000031647,0.02127775,6.107904599,0.056750983,0.955510175,0.98409381,-6.736607239,ns
ENSSSCT00000019640,0.191302578,6.557719604,0.714648484,0.486056495,0.766633345,-6.736726461,ns
ENSSSCT00000044050,0.128397025,6.402440571,0.580330012,0.570509392,0.819270172,-6.737073177,ns
ENSSSCT00000000806,0.187893084,6.403644652,0.581850892,0.569511249,0.818692413,-6.737194021,ns
ENSSSCT00000006181,0.237603398,7.303659724,1.130009346,0.276630707,0.583276518,-6.737436776,ns
ENSSSCT00000030515,0.186367397,6.736819967,0.832579712,0.418445255,0.716073886,-6.737795048,ns
ENSSSCT00000017146,0.023153128,3.760105782,0.074719192,0.941448643,0.980548166,-6.73841967,ns
ENSSSCT00000005436,-0.137150153,6.442862045,-0.587613567,0.56573762,0.816740951,-6.73844106,ns
ENSSSCT00000076536,0.112068019,6.242900494,0.388442506,0.703274021,0.887313899,-6.73845107,ns
ENSSSCT00000049688,0.09586602,6.235981173,0.381513912,0.708297147,0.88976663,-6.7384692,ns
ENSSSCT00000071625,0.213230716,7.325191678,1.138962222,0.272997112,0.580260559,-6.738527589,ns
ENSSSCT00000053086,0.219690626,6.524178272,0.687235159,0.502667329,0.777845071,-6.738695946,ns
ENSSSCT00000008863,-0.06341719,6.116796112,-0.090123518,0.929409405,0.977755046,-6.738712572,ns
ENSSSCT00000000833,0.167518918,6.691848538,0.802970525,0.434823447,0.730121703,-6.738837052,ns
ENSSSCT00000014279,-0.21708615,6.562063105,-0.679205653,0.507594911,0.781949306,-6.739041337,ns
ENSSSCT00000019539,0.109674027,6.244708027,0.386269733,0.704847722,0.887989311,-6.739104759,ns
ENSSSCT00000010606,0.087079403,6.220242626,0.35598495,0.726924988,0.897745095,-6.739324536,ns
ENSSSCT00000095968,0.187738252,6.614779866,0.752714771,0.463543119,0.75055025,-6.739361047,ns
ENSSSCT00000061328,-0.068072955,6.167362558,-0.222767984,0.826791469,0.941643513,-6.739390237,ns
ENSSSCT00000105370,0.163365513,6.204418853,0.337629092,0.740430764,0.904033545,-6.739431703,ns
ENSSSCT00000049706,0.182399164,6.572693948,0.719854885,0.482939144,0.764070797,-6.739649396,ns
ENSSSCT00000062252,-0.173957702,6.581939134,-0.695579085,0.497576524,0.774776725,-6.739917289,ns
ENSSSCT00000058543,0.26121937,7.305731676,1.128393646,0.277290315,0.583638778,-6.740284039,ns
ENSSSCT00000077623,0.229073843,6.640551253,0.769584621,0.453774233,0.744023918,-6.740334469,ns
ENSSSCT00000087764,-0.140597564,6.42719398,-0.569567891,0.577598714,0.822983139,-6.740350681,ns
ENSSSCT00000005678,0.210669911,6.462441969,0.631054286,0.537724595,0.799781333,-6.740463757,ns
ENSSSCT00000027919,0.193575934,6.873406124,0.909046205,0.378035137,0.679053289,-6.740612259,ns
ENSSSCT00000022870,0.15827956,6.408407076,0.582559326,0.569046624,0.818407638,-6.740613681,ns
ENSSSCT00000035348,0.13514125,6.344895029,0.516253253,0.613379815,0.841448144,-6.741113978,ns
ENSSSCT00000061079,0.095782917,6.256918533,0.400583239,0.69450672,0.883971469,-6.741125128,ns
ENSSSCT00000058409,0.130965365,6.491356112,0.655023871,0.522602856,0.791166018,-6.741142942,ns
ENSSSCT00000016882,0.089445934,6.191366621,0.28567972,0.779122176,0.921734872,-6.741190915,ns
ENSSSCT00000019255,0.02504341,6.120099426,0.076590812,0.939985029,0.980408828,-6.741788784,ns
ENSSSCT00000106992,0.202415471,7.163060021,1.058368855,0.307023248,0.613703952,-6.741879194,ns
ENSSSCT00000098670,-0.258593236,6.768386493,-0.809839191,0.430988012,0.727227349,-6.74199926,ns
ENSSSCT00000017912,-0.022550968,6.130284337,-0.067129948,0.947385642,0.981907735,-6.7423991,ns
ENSSSCT00000047414,0.170220681,7.28799732,1.117640648,0.281710383,0.587938907,-6.742424853,ns
ENSSSCT00000006567,0.027314046,6.132364145,0.089628415,0.929796091,0.977757802,-6.742537747,ns
ENSSSCT00000010217,0.224886784,6.610070315,0.74434785,0.468435882,0.753729579,-6.742995382,ns
ENSSSCT00000064093,0.228473125,7.34695487,1.145169262,0.27049918,0.577146107,-6.743003928,ns
ENSSSCT00000011296,-0.058172683,6.1635445,-0.19374826,0.849033186,0.949162521,-6.743030254,ns
ENSSSCT00000018775,-0.154364325,6.520824716,-0.643256589,0.529996244,0.795194097,-6.743371777,ns
ENSSSCT00000012178,0.183935741,6.56181673,0.707836161,0.490153509,0.769370094,-6.743452868,ns
ENSSSCT00000049310,0.153013606,6.384015023,0.555133789,0.587178312,0.828924958,-6.743974746,ns
ENSSSCT00000051691,-0.01797987,6.132157835,-0.057743955,0.954732652,0.983893598,-6.744189442,ns
ENSSSCT00000006177,-0.059200122,6.167755875,-0.16288508,0.872833981,0.957663886,-6.744367298,ns
ENSSSCT00000069065,0.207493975,6.817215192,0.8738407,0.396300679,0.695613105,-6.744407292,ns
ENSSSCT00000045711,0.169338091,7.445073335,1.189339271,0.253222003,0.559192087,-6.744411404,ns
ENSSSCT00000026731,0.122106442,6.329742616,0.48505206,0.634810847,0.853806285,-6.744536493,ns
ENSSSCT00000053911,0.161887942,6.496266311,0.655038605,0.522593635,0.791166018,-6.745222012,ns
ENSSSCT00000022632,0.038446773,6.143570892,0.092189821,0.927795778,0.977155321,-6.745226725,ns
ENSSSCT00000031335,-0.058359077,6.168549389,-0.187105917,0.854143593,0.951609764,-6.745550821,ns
ENSSSCT00000074558,-0.149461859,6.394098027,-0.513237938,0.615435495,0.842461975,-6.745575444,ns
ENSSSCT00000048493,0.08328943,6.245682468,0.373881538,0.713846773,0.892049265,-6.74562064,ns
ENSSSCT00000055588,-0.262892255,6.77143705,-0.815926557,0.427607032,0.724650736,-6.745669511,ns
ENSSSCT00000002516,0.180784532,7.553949631,1.238053027,0.235166151,0.540158559,-6.745680565,ns
ENSSSCT00000013098,0.206900437,6.544227576,0.691838605,0.499854912,0.776098501,-6.74625948,ns
ENSSSCT00000059524,0.16696714,6.487858942,0.644669503,0.529105415,0.794414132,-6.746347439,ns
ENSSSCT00000052630,0.199696159,6.769583822,0.843040759,0.412755843,0.710668893,-6.746816865,ns
ENSSSCT00000084369,0.120846524,6.16547785,0.233569405,0.818550846,0.938941843,-6.746853942,ns
ENSSSCT00000066267,0.184814696,7.216244295,1.079392011,0.297860242,0.605904552,-6.746980015,ns
ENSSSCT00000051795,0.17308327,7.231901927,1.086423611,0.294840962,0.602557732,-6.747210501,ns
ENSSSCT00000026575,0.181893032,6.810042157,0.865853821,0.400525232,0.69915531,-6.747420133,ns
ENSSSCT00000047636,0.088307605,6.202169313,0.304695149,0.764883044,0.915680293,-6.747566848,ns
ENSSSCT00000024912,0.353985616,6.574758431,0.704714141,0.49203797,0.77097711,-6.747799997,ns
ENSSSCT00000093589,0.163023671,6.452009085,0.612442677,0.549631738,0.807280064,-6.747989361,ns
ENSSSCT00000055731,0.198517175,6.79324912,0.855432434,0.40608228,0.70430185,-6.748146167,ns
ENSSSCT00000003078,-0.159971085,6.511465414,-0.623994914,0.542224075,0.80318202,-6.748297023,ns
ENSSSCT00000036326,0.152498684,7.553696391,1.235132257,0.236219649,0.541551732,-6.748567561,ns
ENSSSCT00000002732,0.065816822,6.166026029,0.175891585,0.862786792,0.953944052,-6.748671862,ns
ENSSSCT00000064066,-0.164397492,6.67650893,-0.758759932,0.460027711,0.748239352,-6.74886256,ns
ENSSSCT00000068859,0.011544253,6.132055328,0.04334944,0.966008175,0.987090073,-6.749389829,ns
ENSSSCT00000006321,-0.127435254,6.39964893,-0.525733566,0.606938563,0.837470022,-6.749432488,ns
ENSSSCT00000061805,0.185224677,6.470636634,0.624409539,0.54195923,0.802858783,-6.749514812,ns
ENSSSCT00000019618,-0.200583785,6.846007529,-0.864004564,0.401507621,0.700361264,-6.749678969,ns
ENSSSCT00000016477,0.099006884,6.228147862,0.332416646,0.744282359,0.906017154,-6.75021164,ns
ENSSSCT00000019369,-0.167276399,6.285134703,-0.410756842,0.687194521,0.880581176,-6.750269095,ns
ENSSSCT00000002223,-0.135959588,6.63514859,-0.727125263,0.478606118,0.760776081,-6.750492892,ns
ENSSSCT00000014825,0.251983564,7.105363075,1.021436513,0.323616258,0.630824597,-6.750571118,ns
ENSSSCT00000003114,-0.076819768,6.200813313,-0.217580442,0.830756723,0.943346828,-6.750692787,ns
ENSSSCT00000009793,-0.045554651,6.171409215,-0.173265602,0.864813381,0.954828159,-6.750759518,ns
ENSSSCT00000041366,0.12026316,6.460179205,0.612695715,0.549468893,0.807173228,-6.751021978,ns
ENSSSCT00000064001,0.01405413,6.135372874,0.058148464,0.954415925,0.983784544,-6.751112258,ns
ENSSSCT00000055893,-0.024537621,6.137305421,-0.065702002,0.948503084,0.982148331,-6.751133112,ns
ENSSSCT00000004784,0.131975737,6.330339932,0.478156648,0.639594,0.856681079,-6.751662856,ns
ENSSSCT00000006026,0.23835125,6.711606363,0.801325999,0.435744966,0.730750749,-6.751670113,ns
ENSSSCT00000072636,0.143185998,6.559462422,0.692371963,0.499529662,0.776091819,-6.751933066,ns
ENSSSCT00000052922,0.160918624,6.348269975,0.500939924,0.623854077,0.847351518,-6.752795099,ns
ENSSSCT00000018585,0.198163229,6.961587191,0.944142228,0.360405265,0.663074629,-6.752800554,ns
ENSSSCT00000039485,0.167192319,6.952970018,0.939523322,0.362692431,0.664824799,-6.752867162,ns
ENSSSCT00000095646,0.26058672,7.080807316,1.005854964,0.330807309,0.637014056,-6.753438201,ns
ENSSSCT00000094428,0.162078648,6.3318953,0.480572276,0.637916447,0.855931403,-6.753947964,ns
ENSSSCT00000077217,0.143901823,6.393199874,0.542463408,0.595653878,0.833281233,-6.754224344,ns
ENSSSCT00000094528,0.031662128,6.147586494,0.095020892,0.925585459,0.976268721,-6.75438753,ns
ENSSSCT00000035555,-0.078814476,6.205012741,-0.251572671,0.804865366,0.932124621,-6.754482508,ns
ENSSSCT00000043759,0.215055317,6.773879439,0.837002697,0.41603354,0.713725642,-6.754489212,ns
ENSSSCT00000077539,0.170151176,6.990256525,0.957080702,0.354051812,0.657301838,-6.754633135,ns
ENSSSCT00000056849,0.13849401,6.385941527,0.532141779,0.602603593,0.835010995,-6.754756703,ns
ENSSSCT00000018140,0.166538228,7.061539104,0.993762894,0.336466137,0.642538248,-6.754838007,ns
ENSSSCT00000050850,0.199189099,7.34401515,1.132794269,0.27549654,0.582048229,-6.754992533,ns
ENSSSCT00000029468,0.013837606,6.140929738,0.049623832,0.961092242,0.985797711,-6.755228984,ns
ENSSSCT00000028201,0.163266404,7.030305989,0.977676526,0.344100347,0.648527438,-6.755278254,ns
ENSSSCT00000056653,0.094926673,6.197585169,0.260704674,0.797948391,0.929174872,-6.75589216,ns
ENSSSCT00000074987,0.143552885,6.619500585,0.731370089,0.476087156,0.758724203,-6.756225743,ns
ENSSSCT00000081010,-0.128043909,6.543355991,-0.653061556,0.523831701,0.791767286,-6.75666663,ns
ENSSSCT00000054967,0.092521548,6.218422375,0.305979298,0.763924541,0.915183906,-6.756688775,ns
ENSSSCT00000005841,-0.162629278,6.529752124,-0.645423838,0.528630159,0.794273447,-6.756698376,ns
ENSSSCT00000089496,0.008941519,6.151576483,0.031891658,0.974988788,0.989907012,-6.757136602,ns
ENSSSCT00000007420,0.00964902,6.144623584,0.03512879,0.972451113,0.989236552,-6.757430632,ns
ENSSSCT00000016950,0.205218435,7.56746746,1.235000107,0.236267401,0.541551732,-6.757454023,ns
ENSSSCT00000065867,0.18424229,6.7050966,0.788326465,0.443073041,0.737467168,-6.757496042,ns
ENSSSCT00000007838,-0.179459004,7.004799665,-0.949744832,0.357644448,0.660845497,-6.757570526,ns
ENSSSCT00000032515,0.223484043,6.693990214,0.782763953,0.446232385,0.73902599,-6.757914201,ns
ENSSSCT00000048756,0.11916148,6.442979882,0.585886924,0.566866902,0.817646519,-6.758169594,ns
ENSSSCT00000057848,0.139298459,6.384837645,0.526106029,0.606686182,0.837470022,-6.758602928,ns
ENSSSCT00000056369,-0.01251854,6.159786984,-0.038691595,0.969658492,0.988191214,-6.758679017,ns
ENSSSCT00000046960,-0.139834822,6.63767707,-0.718170174,0.483946555,0.764831021,-6.758727057,ns
ENSSSCT00000017880,-0.038925366,6.172441749,-0.137033635,0.892869293,0.963199992,-6.758925088,ns
ENSSSCT00000041571,0.184527134,6.972202404,0.943456116,0.360744377,0.663289846,-6.759003972,ns
ENSSSCT00000038964,0.151577657,6.652282747,0.750642979,0.464751713,0.751063711,-6.759004194,ns
ENSSSCT00000054519,0.250327092,7.805527093,1.342508626,0.199860633,0.498235576,-6.759211584,ns
ENSSSCT00000048956,0.112323126,6.240532166,0.325718689,0.749242016,0.908276606,-6.759213648,ns
ENSSSCT00000088468,0.184608972,6.698051274,0.782843296,0.446187221,0.73902599,-6.759415455,ns
ENSSSCT00000031998,0.234217718,6.960265037,0.937224449,0.36383451,0.666032399,-6.759569173,ns
ENSSSCT00000062454,0.203398398,6.706786766,0.789005942,0.442688087,0.737168861,-6.759637482,ns
ENSSSCT00000066105,0.164996148,6.775554143,0.830551628,0.419554142,0.71717694,-6.759674631,ns
ENSSSCT00000008315,0.142714696,6.650233006,0.748891365,0.465775038,0.751770572,-6.759699764,ns
ENSSSCT00000045315,0.076297304,6.230445803,0.312056986,0.759393531,0.912850754,-6.759708382,ns
ENSSSCT00000037797,0.135586586,6.259689688,0.368966009,0.717429839,0.893240069,-6.759806692,ns
ENSSSCT00000014457,0.194658667,7.409750282,1.158991867,0.264998749,0.571791571,-6.760172795,ns
ENSSSCT00000042436,-0.077323188,6.210454078,-0.250390316,0.805762182,0.932519013,-6.760381261,ns
ENSSSCT00000056669,-0.061097077,6.172597566,-0.170715336,0.866782476,0.955588877,-6.760388771,ns
ENSSSCT00000059874,0.182947816,6.769027953,0.826248579,0.421913216,0.71928796,-6.760525932,ns
ENSSSCT00000005761,-0.083208865,6.24797174,-0.300835238,0.767766518,0.916262078,-6.760533716,ns
ENSSSCT00000051993,-0.220736304,6.675234067,-0.741527997,0.470091957,0.7549054,-6.760626767,ns
ENSSSCT00000095112,-0.335357704,7.04115114,-0.941323223,0.361799974,0.66427632,-6.760709033,ns
ENSSSCT00000045308,0.144148404,6.634966716,0.736158513,0.473255271,0.757234054,-6.760893753,ns
ENSSSCT00000032499,0.090261106,6.225211252,0.286583769,0.778443301,0.921482609,-6.760897481,ns
ENSSSCT00000107595,-0.156887527,6.325393202,-0.405076784,0.691273089,0.882363114,-6.760908467,ns
ENSSSCT00000005018,0.076787048,6.191214425,0.228999554,0.822034636,0.939771923,-6.760987953,ns
ENSSSCT00000015053,0.135544929,6.566725108,0.685517464,0.503719098,0.77858954,-6.761116549,ns
ENSSSCT00000025080,0.091712757,6.236650145,0.320164899,0.753363169,0.910044001,-6.761170894,ns
ENSSSCT00000013604,0.19405675,7.466277009,1.184664903,0.255009307,0.561292049,-6.761310363,ns
ENSSSCT00000019263,0.204496543,6.705543144,0.783986842,0.445536606,0.738548653,-6.761842728,ns
ENSSSCT00000006971,0.141931101,6.281478571,0.396996518,0.697092205,0.884877321,-6.762012863,ns
ENSSSCT00000085902,0.173025981,6.318446668,0.421372466,0.679598962,0.877291534,-6.762347554,ns
ENSSSCT00000030003,-0.157789855,6.481604445,-0.574038278,0.574648378,0.82165156,-6.762460644,ns
ENSSSCT00000076259,-0.099587219,6.301023017,-0.38451597,0.706118961,0.888650414,-6.762487153,ns
ENSSSCT00000055037,-0.230418068,6.756064185,-0.769201922,0.453994413,0.744023918,-6.762551227,ns
ENSSSCT00000010698,0.126126855,6.411282296,0.543969055,0.594643485,0.832686731,-6.762788964,ns
ENSSSCT00000052957,-0.125713872,6.434346843,-0.538509954,0.598311028,0.834441454,-6.762818447,ns
ENSSSCT00000055428,0.170240391,6.8578385,0.875770625,0.395284344,0.694645837,-6.762896501,ns
ENSSSCT00000068856,0.15215302,6.548839673,0.669418452,0.513638891,0.786358463,-6.762930364,ns
ENSSSCT00000082155,-0.123697609,6.324170293,-0.409748263,0.687918002,0.880849339,-6.763201783,ns
ENSSSCT00000017259,-0.070147063,6.222566292,-0.255471218,0.801910334,0.930808263,-6.763228727,ns
ENSSSCT00000054068,0.119561579,6.368646077,0.497090545,0.626500435,0.848788702,-6.763350953,ns
ENSSSCT00000056349,0.149955627,7.3247568,1.11550268,0.282595467,0.5889926,-6.763397563,ns
ENSSSCT00000059530,0.160826766,6.731880842,0.797859735,0.437691379,0.732319644,-6.763433596,ns
ENSSSCT00000052717,0.027572041,6.164396822,0.073893754,0.942094208,0.98097316,-6.763456762,ns
ENSSSCT00000064569,0.112903688,6.32440382,0.441158045,0.665538247,0.870183231,-6.76350375,ns
ENSSSCT00000006005,-0.056521106,6.179354604,-0.147864044,0.884465503,0.960410399,-6.763555755,ns
ENSSSCT00000044791,0.071290244,6.18668717,0.1898892,0.852001386,0.950405133,-6.763619623,ns
ENSSSCT00000045314,0.138828916,6.465452325,0.596765155,0.559772185,0.813600232,-6.76364996,ns
ENSSSCT00000025814,-0.000780823,6.160578066,-0.002163748,0.998302763,0.999586,-6.763731551,ns
ENSSSCT00000068750,0.144034468,6.676018323,0.759925456,0.459351831,0.747954867,-6.763738775,ns
ENSSSCT00000001063,-0.072588357,6.202674208,-0.228973399,0.822054587,0.939771923,-6.764549331,ns
ENSSSCT00000056309,0.18328222,6.6415713,0.73316496,0.475024464,0.75812314,-6.764825954,ns
ENSSSCT00000054922,-0.156020648,6.607330465,-0.679049982,0.50769072,0.781961517,-6.765131337,ns
ENSSSCT00000007305,0.16299995,6.96205967,0.93060953,0.367134649,0.669410067,-6.765230683,ns
ENSSSCT00000052589,0.107098122,6.326953173,0.445685576,0.662338683,0.868510565,-6.765375146,ns
ENSSSCT00000047480,-0.026556658,6.173809141,-0.100584436,0.921243666,0.974724002,-6.765389626,ns
ENSSSCT00000029722,0.136262283,6.74532032,0.804448147,0.433996515,0.729997518,-6.765424587,ns
ENSSSCT00000043023,0.155603353,7.524130631,1.207418903,0.246399715,0.552791476,-6.76557185,ns
ENSSSCT00000041310,-0.140620468,6.437310718,-0.545299693,0.593751257,0.832033889,-6.765578157,ns
ENSSSCT00000058119,0.212869667,7.156688286,1.031093627,0.319216252,0.626199318,-6.765691902,ns
ENSSSCT00000006221,-0.224245266,6.594913751,-0.638575545,0.532953605,0.796845962,-6.765900649,ns
ENSSSCT00000089513,0.16988983,6.52591598,0.645772493,0.528410576,0.794145113,-6.765914316,ns
ENSSSCT00000031804,-0.141338551,6.474989372,-0.585003341,0.567445256,0.817693228,-6.766054052,ns
ENSSSCT00000016145,0.174648337,6.863554623,0.874270946,0.396073952,0.695516292,-6.766818375,ns
ENSSSCT00000107204,0.166777102,6.722016604,0.787266055,0.44367423,0.737850878,-6.766934542,ns
ENSSSCT00000061204,0.155364233,6.495600156,0.618512043,0.545732999,0.805184256,-6.766990896,ns
ENSSSCT00000102764,0.167920243,7.412948143,1.15439438,0.266818708,0.573730673,-6.767200679,ns
ENSSSCT00000011107,0.10832349,6.313422356,0.421851659,0.679256934,0.87722551,-6.767256479,ns
ENSSSCT00000025781,0.128568763,6.313563189,0.421170913,0.679742843,0.877291534,-6.768095282,ns
ENSSSCT00000017216,0.088060841,6.249707387,0.329522592,0.746423905,0.907254456,-6.768114008,ns
ENSSSCT00000052698,0.141537936,6.338228065,0.459306007,0.652754446,0.864616038,-6.768259021,ns
ENSSSCT00000090887,0.161782045,6.655929984,0.74056703,0.47065714,0.7549054,-6.768465676,ns
ENSSSCT00000072261,0.19694351,6.955865789,0.924107782,0.370398357,0.672209984,-6.768682147,ns
ENSSSCT00000017461,0.1118366,6.29955865,0.406509821,0.690243156,0.881853818,-6.768760883,ns
ENSSSCT00000060838,0.207088287,6.998610623,0.9474939,0.358751877,0.661867844,-6.768838878,ns
ENSSSCT00000063798,0.217186913,6.599244621,0.70164065,0.493897329,0.772674165,-6.769244445,ns
ENSSSCT00000011934,0.197228468,7.91300349,1.383287285,0.187290989,0.484060206,-6.769413885,ns
ENSSSCT00000009915,0.142670855,6.496058054,0.614742201,0.548152824,0.806681311,-6.769572416,ns
ENSSSCT00000080529,-0.122026333,6.343387107,-0.436078056,0.669136255,0.872284906,-6.769584285,ns
ENSSSCT00000071317,0.152670992,6.915130516,0.899271924,0.383048032,0.684051522,-6.769868536,ns
ENSSSCT00000045591,0.011824707,6.173114868,0.041558843,0.967411364,0.987698997,-6.770014602,ns
ENSSSCT00000080938,-0.128799013,6.350953996,-0.433590136,0.67090145,0.87318413,-6.770099556,ns
ENSSSCT00000013571,0.096841033,6.260669786,0.345360319,0.734731232,0.901420581,-6.770177761,ns
ENSSSCT00000008636,0.02346314,6.175734007,0.101215399,0.920751424,0.974375813,-6.770285531,ns
ENSSSCT00000032286,0.198172728,7.408129451,1.148930646,0.268993911,0.575713166,-6.7707936,ns
ENSSSCT00000077168,-0.015282277,6.179758393,-0.048256695,0.962163251,0.986192558,-6.770854323,ns
ENSSSCT00000074569,0.125551535,6.317227276,0.426587375,0.675880714,0.875546396,-6.770952999,ns
ENSSSCT00000085435,0.125143177,6.358137509,0.474477604,0.642152859,0.858482308,-6.771061957,ns
ENSSSCT00000069038,-0.182517697,6.635051367,-0.694793986,0.498054233,0.774981731,-6.771330041,ns
ENSSSCT00000013053,-0.108718125,6.259162661,-0.290684045,0.775366646,0.920242532,-6.771342654,ns
ENSSSCT00000035845,-0.173079133,6.672009575,-0.718027554,0.484031896,0.764831021,-6.771401916,ns
ENSSSCT00000029793,0.20634456,7.075373746,0.984668432,0.340767254,0.645778096,-6.771478749,ns
ENSSSCT00000040435,0.203432679,7.135535812,1.015832738,0.326189406,0.633189975,-6.771506763,ns
ENSSSCT00000000402,0.135536006,6.38518244,0.503363754,0.622190495,0.84664103,-6.771810245,ns
ENSSSCT00000080904,0.041452792,6.187184084,0.14901392,0.883574089,0.960368262,-6.772009509,ns
ENSSSCT00000087515,-0.116712871,6.279675086,-0.287878142,0.777471647,0.921080209,-6.772318653,ns
ENSSSCT00000052364,-0.078199335,6.222005659,-0.231906251,0.819818285,0.939244829,-6.772627021,ns
ENSSSCT00000015038,0.146044295,6.619870064,0.708573792,0.489708899,0.769278794,-6.772743831,ns
ENSSSCT00000091709,0.219301812,6.808527115,0.835164492,0.417034753,0.714779933,-6.772976087,ns
ENSSSCT00000056938,0.130345836,6.211133384,0.192391997,0.85007609,0.949759852,-6.773100081,ns
ENSSSCT00000078428,0.11532867,6.234071394,0.281978077,0.781903777,0.923210502,-6.773208222,ns
ENSSSCT00000044682,0.092204765,6.238182207,0.287568101,0.777704352,0.921216173,-6.773284011,ns
ENSSSCT00000058627,-0.182090648,6.367699897,-0.465544531,0.648385537,0.862332067,-6.773396307,ns
ENSSSCT00000010588,0.153364775,6.822537805,0.842046766,0.413294256,0.711259705,-6.773567561,ns
ENSSSCT00000054685,0.191017237,6.692551111,0.756870788,0.46112452,0.748794954,-6.773856498,ns
ENSSSCT00000050325,0.054553452,6.201623818,0.193897733,0.848918266,0.949139443,-6.774512936,ns
ENSSSCT00000053748,0.167945958,6.416754021,0.534185992,0.60122399,0.834441454,-6.77506533,ns
ENSSSCT00000036714,0.168665296,6.414379284,0.525770393,0.606913607,0.837470022,-6.775212803,ns
ENSSSCT00000033038,0.168497422,7.385744698,1.134155328,0.274943522,0.581637517,-6.775642401,ns
ENSSSCT00000016856,0.115738849,6.498336751,0.60708222,0.55308768,0.809171882,-6.775808181,ns
ENSSSCT00000077929,0.235252693,7.521494729,1.198257579,0.249838737,0.556176791,-6.775862993,ns
ENSSSCT00000014461,0.07436913,6.216141107,0.205143715,0.840282326,0.946087401,-6.775871291,ns
ENSSSCT00000039522,0.148707095,6.442910793,0.5578966,0.585338413,0.828148994,-6.775985928,ns
ENSSSCT00000028356,0.188291692,6.530038645,0.634798432,0.535346596,0.79898892,-6.77633447,ns
ENSSSCT00000007005,0.120241105,6.346213429,0.451191321,0.658456989,0.867344025,-6.776415711,ns
ENSSSCT00000060327,-0.229371632,6.768991581,-0.782958118,0.446121866,0.73902599,-6.776642823,ns
ENSSSCT00000000923,0.083386232,6.222593339,0.223058916,0.82656923,0.941643513,-6.776851201,ns
ENSSSCT00000030216,0.168653736,6.719312542,0.774124471,0.451167377,0.742844986,-6.776923206,ns
ENSSSCT00000076723,0.002537017,6.17695056,0.009410923,0.992618211,0.997371536,-6.777032037,ns
ENSSSCT00000096236,0.075701324,6.247730604,0.28178474,0.782049145,0.923210502,-6.777385742,ns
ENSSSCT00000003067,0.250221455,7.012185801,0.945714316,0.359629093,0.662532068,-6.777534754,ns
ENSSSCT00000041061,0.207580439,6.764429083,0.803551514,0.434498184,0.730121703,-6.777550263,ns
ENSSSCT00000077265,0.187269623,6.657659253,0.731420484,0.476057299,0.758724203,-6.777769865,ns
ENSSSCT00000002805,0.158476973,6.851660233,0.854719092,0.406464512,0.70468533,-6.777849174,ns
ENSSSCT00000012340,0.166619086,7.52150909,1.195541234,0.250865502,0.557147183,-6.778331924,ns
ENSSSCT00000050685,0.2277265,6.974797064,0.924435431,0.370233411,0.672046787,-6.778475813,ns
ENSSSCT00000005799,0.159690683,6.899919592,0.880580906,0.392758745,0.69220389,-6.778514534,ns
ENSSSCT00000039691,-0.074081896,6.254555749,-0.277485323,0.785284001,0.92470835,-6.779176839,ns
ENSSSCT00000062657,0.195899048,6.483089542,0.591166772,0.56341747,0.815664763,-6.779265554,ns
ENSSSCT00000015373,0.193696454,6.743845366,0.787094872,0.443771329,0.737943859,-6.779315552,ns
ENSSSCT00000025637,0.243390167,6.855461378,0.856649653,0.405430603,0.703846384,-6.779322954,ns
ENSSSCT00000002285,0.205274938,6.995742096,0.935008585,0.3649377,0.667097626,-6.77943238,ns
ENSSSCT00000002184,0.201006865,7.795379375,1.32104701,0.206744612,0.505634725,-6.779454787,ns
ENSSSCT00000008800,0.127302718,6.786104417,0.811222313,0.430218312,0.726781395,-6.779574525,ns
ENSSSCT00000007840,0.202547769,6.797066048,0.820440275,0.425111119,0.722471145,-6.779718567,ns
ENSSSCT00000066711,-0.147564961,6.344263228,-0.341129368,0.737848353,0.9027104,-6.779730425,ns
ENSSSCT00000019345,0.168525861,6.831257454,0.838902238,0.415000568,0.712656971,-6.780019929,ns
ENSSSCT00000039893,0.137041071,6.282006922,0.34383927,0.735851301,0.901703761,-6.780034772,ns
ENSSSCT00000003426,-0.093661128,6.233748939,-0.179320963,0.860141692,0.952546578,-6.780034912,ns
ENSSSCT00000011817,0.132447941,6.638574112,0.710396365,0.488611367,0.768653162,-6.780137772,ns
ENSSSCT00000053735,0.138795471,6.383487641,0.480552158,0.63793041,0.855931403,-6.780300701,ns
