,logFC,AveExpr,t,P.Value,adj.P.Val,B,tag
ENSSSCT00000014371,-0.37050238,4.006691357,-0.711071331,0.488205282,0.768264017,-6.289763498,ns
ENSSSCT00000064464,0.298912638,6.706841694,1.254925136,0.22915232,0.533250157,-6.289839565,ns
ENSSSCT00000061631,-0.252595091,5.739431416,-0.688805037,0.501707194,0.777290392,-6.289962978,ns
ENSSSCT00000042453,0.136403222,4.541793848,0.264619185,0.794988693,0.928107195,-6.290029862,ns
ENSSSCT00000037574,-0.188592416,4.783265499,-0.252431886,0.804213829,0.931725451,-6.290126233,ns
ENSSSCT00000076775,0.171815196,4.48977269,0.318020287,0.754956653,0.911442277,-6.290152434,ns
ENSSSCT00000056206,0.323718255,4.230412128,0.587161281,0.566033315,0.817036164,-6.290215657,ns
ENSSSCT00000056178,0.30828552,6.429152102,1.124377554,0.278935006,0.585322437,-6.290286982,ns
ENSSSCT00000050272,0.282667605,4.375268125,0.442177828,0.664816985,0.869977439,-6.290305872,ns
ENSSSCT00000026588,0.108493593,5.084348262,0.21798924,0.830444072,0.943346828,-6.290396561,ns
ENSSSCT00000057837,0.555509821,6.666330398,1.224102942,0.240231097,0.545913283,-6.290423815,ns
ENSSSCT00000012512,0.027898878,4.818766068,0.047244125,0.962956542,0.986369141,-6.290501135,ns
ENSSSCT00000001933,-0.255129425,4.075013834,-0.695970682,0.49733835,0.774626653,-6.290510404,ns
ENSSSCT00000071853,0.17114661,5.401200904,0.454770718,0.655938856,0.866332514,-6.290636263,ns
ENSSSCT00000038995,-0.075419009,4.944898192,-0.166307651,0.870187859,0.956611773,-6.290680015,ns
ENSSSCT00000014051,-0.28843679,3.970601017,-0.744081582,0.468592106,0.753767548,-6.290768,ns
ENSSSCT00000051212,-0.289743133,5.089872,-0.305170422,0.764528249,0.915594125,-6.290883747,ns
ENSSSCT00000014805,0.065240375,4.678127548,0.115582547,0.909552448,0.970229178,-6.290901182,ns
ENSSSCT00000008867,-0.442632567,6.609457617,-1.176754379,0.258056047,0.564797885,-6.290934924,ns
ENSSSCT00000078746,-0.14488389,5.180468391,-0.317041911,0.755683988,0.911908747,-6.290937716,ns
ENSSSCT00000052520,0.22744409,5.422683323,0.470131761,0.645181549,0.860498223,-6.290965,ns
ENSSSCT00000031911,-0.133988067,4.784189324,-0.189061073,0.852638644,0.950552886,-6.291005303,ns
ENSSSCT00000083222,0.261232032,3.839510448,0.907174197,0.378991755,0.67988548,-6.291058495,ns
ENSSSCT00000103260,0.031987191,4.81137429,0.071907638,0.943647697,0.981261275,-6.291081463,ns
ENSSSCT00000090428,0.076054613,5.020893135,0.158449681,0.876265495,0.958802547,-6.291102145,ns
ENSSSCT00000071511,-0.207434986,5.571509378,-0.579086698,0.571326055,0.819591448,-6.291165375,ns
ENSSSCT00000041415,-0.149278111,4.792580742,-0.203605864,0.841462036,0.946649791,-6.291251033,ns
ENSSSCT00000096237,0.030041617,4.763840203,0.055309328,0.956639111,0.98421651,-6.291396169,ns
ENSSSCT00000024857,0.242804045,6.887962907,1.328049404,0.204477916,0.503010619,-6.291452267,ns
ENSSSCT00000039252,0.044488643,4.924014817,0.097988108,0.923269528,0.975772585,-6.291455,ns
ENSSSCT00000033361,-0.087070395,4.635563095,-0.214681912,0.832974386,0.943582626,-6.291589882,ns
ENSSSCT00000047992,0.268056701,3.87310538,0.885002155,0.390446955,0.690699712,-6.291649196,ns
ENSSSCT00000038828,0.263108881,6.430394004,1.123793357,0.279174859,0.585549926,-6.291658151,ns
ENSSSCT00000006779,-0.301468171,3.929447822,-0.782163429,0.446574311,0.73924567,-6.291800771,ns
ENSSSCT00000071744,-0.244342826,4.20138694,-0.601554819,0.556663544,0.811078063,-6.291811278,ns
ENSSSCT00000005916,0.158027931,5.34170569,0.410115518,0.687654524,0.880842458,-6.291930752,ns
ENSSSCT00000076727,0.033472422,4.786273204,0.051109396,0.959928547,0.985563315,-6.292091328,ns
ENSSSCT00000001888,-0.130278575,4.71437937,-0.258131711,0.79989552,0.929734535,-6.292133582,ns
ENSSSCT00000033385,-0.288577572,4.221266778,-0.584008769,0.568096631,0.818015423,-6.292208287,ns
ENSSSCT00000052719,-0.305595252,6.076677691,-0.887985487,0.388892198,0.689294877,-6.292290131,ns
ENSSSCT00000001196,-0.184929223,4.440327907,-0.429794666,0.673598229,0.874189487,-6.292298942,ns
ENSSSCT00000078755,0.045752668,4.938929968,0.093949456,0.926421894,0.976679555,-6.292353335,ns
ENSSSCT00000012280,-0.447926755,6.359313618,-1.025907991,0.321573545,0.628988731,-6.292519669,ns
ENSSSCT00000012328,-0.227878135,3.949278405,-0.762169383,0.458052323,0.746857064,-6.292572027,ns
ENSSSCT00000067200,0.10318071,4.584627992,0.20791351,0.838158574,0.945623609,-6.292733553,ns
ENSSSCT00000029860,-0.257112579,4.007185586,-0.733584011,0.474776563,0.757955565,-6.292802829,ns
ENSSSCT00000061318,0.019492495,4.812015811,0.046426434,0.963597185,0.986369141,-6.292806358,ns
ENSSSCT00000001909,-0.267165254,6.560856716,-1.160774199,0.264295742,0.571529574,-6.292897715,ns
ENSSSCT00000009733,0.300108411,6.076551492,0.915952443,0.374520195,0.676128961,-6.292960954,ns
ENSSSCT00000043025,-0.189664131,5.105550891,-0.260139982,0.798375611,0.929475434,-6.293023983,ns
ENSSSCT00000028975,0.017380821,4.892164738,0.032448228,0.974552458,0.989688348,-6.293035728,ns
ENSSSCT00000045205,-0.078740038,5.028200047,-0.199596142,0.844539801,0.947338338,-6.293132573,ns
ENSSSCT00000034032,-0.222236515,4.329193992,-0.490670254,0.630926069,0.851244179,-6.29319581,ns
ENSSSCT00000019272,-0.217101466,4.447143394,-0.398566955,0.695959675,0.884811364,-6.293228115,ns
ENSSSCT00000071798,0.23413212,3.831586681,0.911166467,0.376953644,0.678471115,-6.293249823,ns
ENSSSCT00000041048,-0.039022779,4.844187246,-0.077393435,0.939357443,0.980386094,-6.293414044,ns
ENSSSCT00000024225,-0.264282711,3.976541084,-0.734832453,0.474038479,0.757683415,-6.293427785,ns
ENSSSCT00000079971,0.056883502,4.937192639,0.100743465,0.921119597,0.97465029,-6.293472435,ns
ENSSSCT00000009516,-0.060100532,4.974865007,-0.158137945,0.876506773,0.958802547,-6.293528715,ns
ENSSSCT00000014039,-0.288053958,6.173365637,-0.942756774,0.361090255,0.663565481,-6.293687006,ns
ENSSSCT00000050097,0.326526412,6.165172197,0.970264207,0.347658892,0.651389491,-6.293844328,ns
