,H2,H3,H6,H7,H8,W1,W10,W6,W7,W9
ENSSSCT00000095843,0,0.402724415,0,0,0.323041885,0.137792154,0,0,0,0.046421451
ENSSSCT00000010780,1.387500836,3.307002842,1.960065526,1.79287908,16.77554107,0.824140726,1.460312732,9.207404956,13.9001087,21.36933227
ENSSSCT00000085065,0.95740407,0.645269873,19.77788583,4.397036706,21.48399172,0.883381271,0.345357606,2.28147483,1.096133321,1.814337805
ENSSSCT00000102490,6.663220799,10.61305016,37.92265627,24.7004144,36.44325131,60.09335456,7.804805224,42.93361283,20.33080146,26.98083834
ENSSSCT00000023990,4.991933917,2.419037033,74.09656132,10.17517458,29.50495232,13.9315272,5.796594756,13.68233253,10.84314838,1.294107565
ENSSSCT00000017589,2.991679919,4.759109294,6.828521178,10.23441909,7.315541954,8.396724175,5.056540027,41.5401705,13.35073719,9.346382495
ENSSSCT00000061492,9.369310145,11.71163211,6.042659991,14.05519073,13.76691254,6.357260041,2.939271189,1.25107075,8.430932438,10.60188188
ENSSSCT00000011734,5.295300998,2.404569026,2.590207651,9.840450841,5.042988358,7.509920934,6.492170226,1.936550872,4.192422199,12.40720013
ENSSSCT00000052413,17.26660458,47.88008106,44.56793595,35.00970579,13.51398571,24.83346926,17.45618879,3.957963479,56.11500994,6.960663665
ENSSSCT00000068392,24.1530468,66.12667345,139.9377387,45.16339348,261.1950422,27.38836233,16.91000505,16.37605129,21.26345295,27.93166724
ENSSSCT00000064359,0,0.599061066,0,0,0.168139843,0.175814619,0,0,0.030287981,0.011918726
ENSSSCT00000029870,19.39345817,179.7766898,81.19868361,34.80588266,44.1884123,49.72683963,32.11299324,189.3178505,60.50000235,128.1068946
ENSSSCT00000055236,4.652675692,32.6569862,38.34694978,5.585448921,8.436296095,3.681573242,13.97238286,9.248489267,16.46014171,28.95825438
ENSSSCT00000080141,0.995853107,5.405597829,14.0809681,6.6139321,6.952472388,11.2387845,2.8463656,8.551914772,2.501527431,2.840115553
ENSSSCT00000028484,9.615279119,17.53885594,32.95455313,1.066025944,20.26097956,8.398679219,5.001819437,5.382644402,2.992222477,11.50742621
ENSSSCT00000044125,7.181640836,5.397598492,5.980039787,3.322493649,15.68784477,7.537130818,2.749201269,7.786677006,6.845207531,1.915908091
ENSSSCT00000029429,25.92188064,5.135751875,17.39511732,43.07540936,7.901864241,32.63613456,19.77851255,18.99921796,15.93203051,7.84928644
ENSSSCT00000018873,1.728330154,3.210045201,3.724196578,4.532636793,1.789753576,3.280756787,0.726575044,1.819153218,3.108404694,4.168796187
ENSSSCT00000104076,1.963409282,7.248963417,2.821398362,6.161844849,3.238004497,6.405178858,7.772057115,0.099404743,23.68949774,3.375748824
ENSSSCT00000016923,6.298031433,19.38833404,44.50122644,7.325186895,31.30517685,10.97255679,14.37920663,21.71581866,9.100694892,40.63224483
ENSSSCT00000040198,0,0,93.01461606,0,0,0,0,0,0.846404234,0
ENSSSCT00000014507,0.680277684,1.320173669,5.501810246,0,0.874617922,2.536667284,0.754267448,40.05955231,0.452824949,1.465960566
ENSSSCT00000014506,7.311693824,0,0,18.43489006,0,0,0.312828925,0.189446478,0.085596915,0.234539377
ENSSSCT00000027655,24.12219376,7.016876449,19.91250257,11.62006339,28.11129355,10.95841175,2.250372932,28.54362148,20.43561929,16.84139716
ENSSSCT00000034032,1.138533801,0.261604039,0.542408908,0,0.434877933,1.66648727,0,0,0,0.074870566
ENSSSCT00000047259,0,0,0,0,0,0,0.081042998,0,0.495915502,0.037474054
ENSSSCT00000060646,7.353104174,15.39631791,6.005178456,2.773702667,1.457826226,9.965391183,14.31487292,5.244560836,5.14101805,0.497385227
ENSSSCT00000079483,8.664328661,0,6.995063071,6.064430264,2.896267556,10.74723498,1.348458285,15.56156951,9.787942507,2.472092654
ENSSSCT00000018828,0,0,0,0.741726686,0.082729529,0,0,0,0.009780018,0
ENSSSCT00000090230,0,19.54579579,0,0,16.52657666,0,0.336694378,0,0.043148033,0.143913018
ENSSSCT00000041638,0,0,4.826264082,0,0,0,0.09398491,0,0,0.083343891
ENSSSCT00000017775,1.283450875,1.744379329,2.547296547,0.374413702,2.250272116,2.68259192,0.534716985,2.247430475,3.603731886,14.02335643
ENSSSCT00000012727,0,0,2.103930264,0,0,0.271907208,0.608108977,0,0,0.488771172
ENSSSCT00000018965,32.44788873,55.00591598,81.05635075,23.43835694,41.65084252,47.19132838,33.19801495,75.21563595,94.05316602,57.84914853
ENSSSCT00000050582,14.64122303,3.182809139,2.542417852,1.190448833,32.79564567,9.17192331,0.569805693,0.52940136,1.864222178,2.303483528
ENSSSCT00000105482,81.25879958,9.569914206,16.74317257,50.31186269,22.20365475,33.84008958,14.03150445,22.32489927,37.38117452,46.47581958
ENSSSCT00000050621,5.485668272,2.679312063,1.912552166,1.564174623,9.758824082,0.441436805,0.272127057,0.597122365,0.885843183,0.796785725
ENSSSCT00000051683,8.418631812,13.12022181,5.805640212,11.62803893,1.437169625,6.532914201,5.103316158,4.742573564,14.99960731,4.003870305
ENSSSCT00000071335,0,0,0,0,25.60310076,0,2.341303768,0,0.303110257,0.22936396
ENSSSCT00000056129,8.548178006,27.74621237,22.45969096,41.24783995,9.474576347,15.80821646,11.04472228,9.595505008,17.52759697,27.46417985
ENSSSCT00000025270,2.469288363,12.92699338,11.61108253,19.14956048,44.29335867,6.353959636,7.425193431,3.418138292,5.582619047,19.37690952
ENSSSCT00000101133,9.019261454,4.815430607,5.042621782,3.82311378,8.60030199,22.27555386,21.04426884,8.96381099,14.3482946,24.1285685
