Transcript,external_gene_name,TE_H6,TE_H7,TE_W10,TE_W6
ENSSSCT00000047042,ADAT3,2.277321514,0,0,0
ENSSSCT00000081342,ADA,2.243422541,3.590552692,1.466512452,0.925968821
ENSSSCT00000048666,ADCK1,2.992220111,4.158886193,268.1431856,260.73868
ENSSSCT00000017960,ADCK2,1.740051101,2.659782635,22.83468575,5.197572712
ENSSSCT00000006487,ADCK5,0.783037767,0.654146541,2.984433123,10.49541572
ENSSSCT00000006910,ADCY10,0.065067195,4.311828214,NA,NA
ENSSSCT00000018207,ADCY1,0,NA,NA,NA
ENSSSCT00000009387,ADCY3,4.235282324,1.371255226,6.36644294,2.909677826
ENSSSCT00000002224,ADCY4,1.913692327,0.424769774,5.669453244,1.929248301
ENSSSCT00000029344,ADCY5,0,0.726835019,NA,47.29048918
ENSSSCT00000000184,ADCY6,1.599073283,6.901236631,0.884519434,0.828133007
ENSSSCT00000063912,ADCY7,1.145076663,4.502441094,8.890755089,4.948529651
ENSSSCT00000061510,ADCY8,NA,NA,NA,NA
ENSSSCT00000045205,ADCY9,2.792645666,4.421648424,5.261744022,67.07410735
ENSSSCT00000107624,ADD1,3.894315379,5.607557693,7.181203741,9.154082042
ENSSSCT00000099380,ADD2,NA,NA,0,0
ENSSSCT00000054427,ADD3,0.949365265,5.480899396,1.238889717,3.417680825
ENSSSCT00000004553,ADGB,2.216578642,9.78040801,0,NA
ENSSSCT00000037721,ADGRA3,0.025685585,NA,0,0
ENSSSCT00000039458,ADGRB1,NA,NA,0,0
ENSSSCT00000003999,ADGRB2,0.742864041,NA,0,NA
ENSSSCT00000066143,ADGRB3,NA,0.282186127,NA,NA
ENSSSCT00000010684,ADGRD1,NA,0,NA,NA
ENSSSCT00000006147,ADGRD2,NA,NA,NA,NA
ENSSSCT00000029894,ADGRE3,1.8352643,7.831897966,155.6873975,NA
ENSSSCT00000036462,ADGRE5,2.057074169,10.97339941,13.58911609,3.920292632
ENSSSCT00000001930,ADGRF1,NA,NA,NA,0
ENSSSCT00000028489,ADGRF3,NA,3.810292587,NA,NA
ENSSSCT00000100055,ADGRF5,NA,NA,NA,NA
ENSSSCT00000040726,ADGRG1,1.260983152,3.329165667,161.6036816,34.40705859
ENSSSCT00000068039,ADGRG2,0,0,NA,NA
ENSSSCT00000003114,ADGRG3,0.420346317,0.301750368,5.371574236,19.68065849
ENSSSCT00000057757,ADGRG5,0.35010853,1.579872626,11.8088083,4.433034998
ENSSSCT00000064165,ADGRG6,0.04517805,0.019657144,0,6.319284612
ENSSSCT00000061723,ADGRG7,13.96109696,NA,13.2376397,21.00484931
ENSSSCT00000053432,ADGRL1,0.942322488,1.107844555,17.59165482,1.366367059
ENSSSCT00000063942,ADGRL2,0.139939937,0.425949115,15.63670342,60.67995339
ENSSSCT00000107743,ADGRL3,1.555547688,0.545642037,NA,NA
ENSSSCT00000045697,ADGRV1,0.733550438,1.226867382,0,2.065733609
ENSSSCT00000050964,ADH5,4.215081307,3.900724723,2.257324853,2.270952531
ENSSSCT00000073069,ADHFE1,0,NA,13.55884248,118.0359492
ENSSSCT00000026549,ADI1,2.549427281,2.479020801,3.798533741,7.188286301
ENSSSCT00000069245,ADIPOR1,0.229464681,0.942321827,0.191310532,0.867605719
ENSSSCT00000000821,ADIPOR2,0.884515462,2.423182119,1.401535695,0.479636562
ENSSSCT00000055558,ADISSP,0.857112869,1.086501048,0,1.265445047
ENSSSCT00000075864,ADK,6.273586112,5.697615207,14.78093428,6.239025094
ENSSSCT00000014648,ADM,7.666122283,NA,NA,218.3619269
ENSSSCT00000068751,ADNP2,0.412489498,2.868911851,5.298580256,12.61481579
ENSSSCT00000034395,ADNP,8.464822202,10.65645859,1.228998489,7.700138992
ENSSSCT00000036846,ADORA1,NA,NA,NA,NA
ENSSSCT00000011015,ADORA2A,0.190781718,NA,30.14172553,0
ENSSSCT00000007436,ADORA3,3.333100944,0,0,0
ENSSSCT00000053127,ADO,12.86730459,NA,127.3128437,59.449868
ENSSSCT00000100509,ADPGK,2.374559945,1.816498557,10.89789832,5.000466936
ENSSSCT00000013018,ADPRH,1.582273349,1.733971405,1.952974276,544.7011554
ENSSSCT00000070466,ADPRM,40.23306505,1.158272074,2.201231166,NA
ENSSSCT00000004030,ADPRS,2.693423813,1.315912529,1.399102246,0
ENSSSCT00000095446,ADRB2,0.681372439,2.833142195,9.514985221,NA
ENSSSCT00000017229,ADRB3,NA,NA,0,NA
ENSSSCT00000044242,ADRM1,4.08864582,4.362829632,4.284103242,1.485540792
ENSSSCT00000093731,ADSL,6.329116166,1.959068449,0.330071589,1.49109528
ENSSSCT00000048163,ADSS1,NA,0.005553915,0,0
ENSSSCT00000041198,ADSS2,1.173943662,4.927714937,1.250198284,6.160315055
ENSSSCT00000001142,ADTRP,NA,NA,NA,NA
ENSSSCT00000018236,AEBP1,3.833295541,2.216292716,29.61633073,7.161791798
ENSSSCT00000000632,AEBP2,3.81922922,2.554993765,18.88015532,13.78287423
ENSSSCT00000005624,AEN,1.999215071,1.241175551,0,14.22574617
ENSSSCT00000083150,AFAP1L1,NA,NA,0,NA
ENSSSCT00000039817,AFAP1,3.741148795,1.812951425,42.26679833,NA
ENSSSCT00000039396,AFDN,0.916528523,0.405259187,3.857991258,1.278720522
ENSSSCT00000073192,AFF1,5.253092062,4.580292779,4.694239511,14.51732829
ENSSSCT00000041296,AFF2,1.497245624,3.350587717,0,5.435655298
ENSSSCT00000064001,AFF3,7.117978598,26.84605002,29.09126591,36.18161034
ENSSSCT00000025744,AFF4,8.35377237,17.13503626,2.678495469,3.672438809
ENSSSCT00000022746,AFG1L,11.13524695,5.470968291,6.926629611,NA
ENSSSCT00000009950,AFG2A,3.802215654,1.752956098,4.291529475,15.65053993
ENSSSCT00000005157,AFG2B,3.245195291,3.533205761,3.562567136,42.89394515
ENSSSCT00000025900,AFG3L2,6.058243977,1.168896978,0.342485062,2.731687878
ENSSSCT00000042348,AFMID,1.691396604,1.831443953,4.720142429,31.62968947
ENSSSCT00000022299,AFTPH,2.218515028,1.025541787,0.3191564,1.208928362
ENSSSCT00000045986,AGAP1,0.294359579,7.198936415,0,1.591721776
ENSSSCT00000041217,AGAP2,0.436721666,1.99112535,6.120775793,3.087074749
ENSSSCT00000051565,AGAP3,0.0368214,5.917697898,67.90825688,8.703070157
ENSSSCT00000017173,AGA,0.339601934,2.918104089,10.2985909,2.731286759
ENSSSCT00000062307,AGBL1,0.455854232,0,NA,NA
ENSSSCT00000038642,AGBL2,0,0.569134622,0,118.3970588
ENSSSCT00000103237,AGBL3,3.715832966,15.82330473,0,NA
ENSSSCT00000056994,AGBL5,2.051652311,0.911244667,0,1.363791424
ENSSSCT00000001586,AGER,0.526838661,1.439913414,22.00050992,24.12842555
ENSSSCT00000017692,AGFG1,0.616912039,3.636704253,0,0.825994549
ENSSSCT00000064137,AGFG2,1.007666978,2.347665382,5.777477893,0.409654257
ENSSSCT00000015395,AGGF1,1.054027796,1.601076814,2.903723933,0.908220059
ENSSSCT00000075893,AGK,4.694624216,4.480936402,10.28680992,3.201455887
ENSSSCT00000053207,AGL,1.232662155,1.429360145,1.192491101,3.144433114
ENSSSCT00000095248,AGMAT,NA,NA,NA,NA
ENSSSCT00000072445,AGO2,4.505865583,5.355129794,3.36062606,1.990662735
ENSSSCT00000004027,AGO3,2.471609288,8.943935325,3.318837281,2.451930275
ENSSSCT00000107896,AGPAT1,0.219936017,2.758500378,6.520007572,5.68643014
ENSSSCT00000044222,AGPAT3,0.799857779,4.595994045,17.23823192,5.366969804
ENSSSCT00000004461,AGPAT4,2.6178318,1.891008416,0,3.260282202
ENSSSCT00000017156,AGPAT5,0.533414763,2.702483293,2.769203757,6.385746666
ENSSSCT00000051451,AGPS,7.307071237,20.73048391,4.337347037,4.215050888
ENSSSCT00000106706,AGR2,NA,NA,NA,NA
ENSSSCT00000065088,AGRN,2.522275411,0.734103644,19.15703196,4.033725831
ENSSSCT00000011993,AGTPBP1,3.257432073,6.929856921,0,19.40474185
ENSSSCT00000011150,AGT,NA,0,0,13.91349753
ENSSSCT00000017859,AGXT,0,NA,NA,NA
ENSSSCT00000080963,AHCTF1,1.354333268,3.90811214,0.868323293,0.856224085
ENSSSCT00000051631,AHCYL1,0.486635121,10.59064142,8.369602004,6.144986124
ENSSSCT00000078936,AHCYL2,2.994213294,12.01606284,5.76575592,4.354500868
ENSSSCT00000056819,AHCY,1.481311022,2.347358101,2.018785653,1.136259133
ENSSSCT00000071282,AHDC1,0.961834235,0.578559932,3.040044993,1.449894977
ENSSSCT00000004605,AHI1,5.051541134,2.980545217,4.852799456,3.443652867
ENSSSCT00000107632,AHNAK,10.47134555,1.23106946,5.938743104,3.647677374
ENSSSCT00000041688,AHRR,NA,NA,0,NA
ENSSSCT00000031031,AHR,6.914525596,10.39755412,0.227434568,28.26355106
ENSSSCT00000002675,AHSA1,2.744727342,1.800365754,1.285451661,0.981290267
ENSSSCT00000036715,AHSG,1.410387542,NA,NA,NA
ENSSSCT00000047650,AHSP,NA,0,57.98799578,0.122283169
ENSSSCT00000000723,AICDA,NA,0,NA,9.790780261
ENSSSCT00000011854,AIDA,0.126558724,0.091491432,0,3.900516004
ENSSSCT00000049035,AIF1L,0.213029739,0,NA,NA
ENSSSCT00000107795,AIF1,0.355801846,0.091931399,0.256260861,5.619856422
ENSSSCT00000089571,AIFM1,4.834248328,2.112307259,0.158815526,1.022492704
ENSSSCT00000053389,AIFM2,8.372735409,1.459200417,0.262285661,0.678145028
ENSSSCT00000011057,AIFM3,0.927645813,0.028620542,NA,NA
ENSSSCT00000075083,AIG1,0.281416729,3.134430439,4.716485685,0
ENSSSCT00000065886,AIMP1,2.599139421,1.716294183,0.259455453,1.627539602
ENSSSCT00000026197,AIMP2,0.705493627,2.113217261,5.812086681,0.799749828
ENSSSCT00000028258,AIPL1,1.833174323,2.935957828,40.37514434,6.997213677
ENSSSCT00000103473,AIP,0.237471961,0.42557593,5.885018749,2.958556891
ENSSSCT00000051925,AIRIM,0.886532594,1.469233579,0,0
