"GeneID","RNAseq_H2","RNAseq_H3","RNAseq_H6","RNAseq_H7","RNAseq_H8","RNAseq_W1","RNAseq_W10","RNAseq_W6","RNAseq_W7","RNAseq_W9"
"ENSSSCG00000000631",0,2,1,0,0,4,0,0,0,0
"ENSSSCG00000000633",71,364,127,170,392,148,1782,1431,2328,1694
"ENSSSCG00000000634",0,2,2,3,1,0,1,0,0,0
"ENSSSCG00000000635",2,1,5,1,6,2,87,20,91,85
"ENSSSCG00000000636",0,2,0,1,0,0,3,0,5,11
"ENSSSCG00000000638",0,0,1,0,1,0,4,1,2,5
"ENSSSCG00000000640",1,1,1,6,3,6,30,9,78,313
"ENSSSCG00000000642",1,0,0,0,0,0,0,0,0,2
"ENSSSCG00000000645",35,129,52,68,123,76,1011,1327,939,527
"ENSSSCG00000000647",0,1,5,9,9,4,1,0,9,134
"ENSSSCG00000000648",6,4,3,2,4,8,33,17,112,156
"ENSSSCG00000000650",6,8,14,11,29,11,89,111,77,49
"ENSSSCG00000000651",0,0,0,1,5,0,9,8,15,9
"ENSSSCG00000000653",7,44,63,80,105,55,523,121,1500,782
"ENSSSCG00000000656",2,3,6,9,10,9,20,6,91,77
"ENSSSCG00000000657",64,63,78,66,79,68,702,356,1875,1927
"ENSSSCG00000000660",31,16,25,11,9,13,10,71,318,318
"ENSSSCG00000000661",13,18,29,22,23,30,79,104,234,293
"ENSSSCG00000000663",3,7,14,10,16,13,43,54,311,611
"ENSSSCG00000000664",0,3,2,0,3,0,0,0,0,1
"ENSSSCG00000000665",0,0,0,0,0,2,1,0,2,5
"ENSSSCG00000000667",1,0,0,1,1,1,8,8,11,14
"ENSSSCG00000000668",1,2,0,0,1,2,0,0,0,0
"ENSSSCG00000000669",0,0,0,0,1,0,0,0,0,0
"ENSSSCG00000000672",0,1,2,2,44,4,0,0,0,2
"ENSSSCG00000000679",0,0,0,0,2,1,0,1,0,0
"ENSSSCG00000000680",3,2,2,0,2,5,11,0,30,52
"ENSSSCG00000000681",0,1,1,2,15,0,1,7,0,6
"ENSSSCG00000000682",0,0,0,0,1,1,0,0,1,1
"ENSSSCG00000000683",2,3,5,3,14,3,75,49,75,150
"ENSSSCG00000000684",25,64,73,60,131,61,488,627,1206,1121
"ENSSSCG00000000685",39,43,50,37,137,55,886,1119,1703,1796
"ENSSSCG00000000687",24,58,98,79,114,92,418,353,1686,1313
"ENSSSCG00000000688",2,5,1,6,2,5,42,65,156,84
"ENSSSCG00000000690",18,29,40,28,107,34,407,594,803,945
"ENSSSCG00000000691",9,12,9,3,17,7,44,34,100,152
"ENSSSCG00000000692",0,0,0,0,0,1,0,0,0,0
"ENSSSCG00000000693",37,46,50,40,91,58,337,343,581,865
"ENSSSCG00000000694",319,285,287,229,1508,320,6424,9140,12947,11956
"ENSSSCG00000000695",22,27,38,33,38,37,192,103,387,567
"ENSSSCG00000000696",11,42,38,38,67,41,204,203,458,534
"ENSSSCG00000000697",126,305,307,301,473,324,1921,1468,5120,5510
"ENSSSCG00000000699",3,1,2,3,10,6,19,19,39,135
"ENSSSCG00000000700",4,5,6,3,5,4,24,27,108,163
"ENSSSCG00000000702",22,42,48,46,86,51,282,351,612,687
"ENSSSCG00000000703",10,28,45,31,39,57,128,57,350,252
"ENSSSCG00000000704",20,47,65,60,61,49,366,382,867,1170
"ENSSSCG00000000706",9,2,3,4,19,1,31,27,123,121
"ENSSSCG00000000707",1,2,2,0,7,1,0,0,10,17
"ENSSSCG00000000708",26,25,38,27,36,21,94,110,657,1137
"ENSSSCG00000000709",1,0,1,7,16,1,2,0,5,4
"ENSSSCG00000000712",0,2,2,2,3,3,0,0,0,0
"ENSSSCG00000000716",1,1,0,1,0,1,0,0,0,0
"ENSSSCG00000000718",5,3,2,3,6,4,0,0,0,0
"ENSSSCG00000000719",16,30,24,20,52,26,201,176,410,329
"ENSSSCG00000000720",7,7,13,11,10,8,25,17,26,68
"ENSSSCG00000000721",3,3,8,3,5,5,29,70,19,12
"ENSSSCG00000000722",1,2,4,5,11,10,66,31,85,126
"ENSSSCG00000000723",5,9,14,14,20,12,48,15,79,92
"ENSSSCG00000000728",10,14,24,16,22,25,87,85,191,200
"ENSSSCG00000000730",0,0,0,3,1,0,0,0,0,0
"ENSSSCG00000000732",9,17,11,16,19,20,37,24,52,131
"ENSSSCG00000000734",2,0,1,2,0,5,12,2,11,17
"ENSSSCG00000000735",8,26,19,18,50,6,43,58,70,94
"ENSSSCG00000000736",0,0,1,0,4,0,0,0,0,5
"ENSSSCG00000000737",0,3,4,2,18,8,1,7,1,23
"ENSSSCG00000000738",2,9,4,2,15,6,79,78,78,148
"ENSSSCG00000000739",5,6,8,7,29,10,60,91,66,119
"ENSSSCG00000000740",1,0,0,0,6,2,0,2,2,0
"ENSSSCG00000000741",0,4,0,0,0,0,0,0,1,0
"ENSSSCG00000000742",7,10,18,13,16,15,42,64,124,134
"ENSSSCG00000000743",54,70,61,51,163,78,905,945,1562,1527
"ENSSSCG00000000745",5,29,35,31,22,26,145,108,220,355
"ENSSSCG00000000746",4,14,22,16,33,8,71,186,162,146
"ENSSSCG00000000749",0,0,1,1,5,0,15,8,9,8
"ENSSSCG00000000751",5,13,14,9,14,5,70,9,74,163
"ENSSSCG00000000753",107,215,200,166,313,230,546,437,1956,1982
"ENSSSCG00000000754",5,14,12,8,6,8,29,30,80,127
"ENSSSCG00000000755",95,84,94,86,122,91,85,47,338,253
"ENSSSCG00000000757",13,36,41,41,59,34,266,332,654,636
"ENSSSCG00000000759",29,8,7,8,20,10,2,29,99,70
"ENSSSCG00000000760",0,1,1,2,0,0,6,0,1,1
"ENSSSCG00000000764",2,6,2,1,4,2,25,11,22,34
"ENSSSCG00000000765",60,96,93,111,146,99,586,670,1736,1735
"ENSSSCG00000000766",3,8,6,12,19,6,9,30,57,77
"ENSSSCG00000000769",3,14,21,20,41,26,146,152,323,392
"ENSSSCG00000000770",5,11,9,2,12,14,21,55,56,107
"ENSSSCG00000000774",3,4,12,25,42,33,57,96,220,238
"ENSSSCG00000000778",0,1,0,0,3,1,0,0,0,0
"ENSSSCG00000000779",5,8,8,9,18,10,0,0,0,1
"ENSSSCG00000000781",1,2,3,0,0,2,0,0,0,0
"ENSSSCG00000000782",0,1,0,0,0,0,0,0,0,0
"ENSSSCG00000000783",5,4,1,2,9,4,9,0,7,20
"ENSSSCG00000000784",140,247,275,171,256,151,347,74,972,944
"ENSSSCG00000000789",0,1,2,7,5,1,0,0,0,0
"ENSSSCG00000000791",2,0,3,2,2,1,0,0,0,0
"ENSSSCG00000000793",4,15,16,15,22,20,122,20,203,165
"ENSSSCG00000000795",1,0,2,1,0,1,0,0,1,0
"ENSSSCG00000000798",14,59,29,15,29,40,326,122,277,203
"ENSSSCG00000000799",5,4,13,16,13,11,60,21,165,200
"ENSSSCG00000000800",3,5,14,5,8,10,39,6,112,97
"ENSSSCG00000000801",0,4,1,3,0,1,17,27,12,3
"ENSSSCG00000000802",1,6,0,0,0,5,0,0,2,32
"ENSSSCG00000000804",63,75,69,81,134,68,288,102,473,459
"ENSSSCG00000000806",46,158,168,162,246,129,743,153,1278,1185
"ENSSSCG00000000807",8,31,38,24,41,26,145,42,188,146
"ENSSSCG00000000808",63,118,131,86,199,118,757,150,1713,2312
"ENSSSCG00000000810",2,8,4,13,28,15,72,30,314,89
"ENSSSCG00000000811",4,21,37,33,66,58,59,30,193,77
"ENSSSCG00000000816",11,9,16,10,37,18,48,30,83,125
"ENSSSCG00000000837",22,66,53,60,68,48,53,94,343,399
"ENSSSCG00000000838",5,4,8,3,11,6,58,11,41,53
"ENSSSCG00000000839",24,16,30,13,26,42,76,25,346,392
"ENSSSCG00000000840",38,36,44,33,70,54,374,64,515,657
"ENSSSCG00000000841",14,15,22,19,23,31,77,44,158,219
"ENSSSCG00000000842",12,33,27,30,54,32,221,70,324,681
