name,H2,H3,H6,H7,H8,W1,W10,W6,W7,W9
ACTMAP_ENSSSCG00000040533_ENSSSCT00000065394_721_1819_2381,4,7,9,5,16,4,61,93,104,192
ACTN1_ENSSSCG00000036702_ENSSSCT00000027004_275_2960_3660,112,314,240,243,486,323,1568,1623,3206,2744
ACTN2_ENSSSCG00000010144_ENSSSCT00000069068_161_2921_6160,0,2,0,2,7,4,1,0,0,7
ACTN3_ENSSSCG00000038323_ENSSSCT00000081024_33_2832_2950,1,0,0,0,0,3,2,0,3,1
ACTN4_ENSSSCG00000002965_ENSSSCT00000003289_51_2850_3928,79,83,106,94,312,118,732,1225,2016,2756
ACTR10_ENSSSCG00000022299_ENSSSCT00000030515_118_1369_3626,12,6,15,6,30,18,265,67,430,393
ACTR1A_ENSSSCG00000010585_ENSSSCT00000011578_79_1126_3042,8,21,31,20,38,16,151,141,396,471
ACTR1B_ENSSSCG00000008194_ENSSSCT00000088139_236_1361_2357,7,13,10,12,18,8,123,77,183,201
ACTR2_ENSSSCG00000008358_ENSSSCT00000064075_111_1323_3793,55,62,86,77,125,107,1531,398,3150,2927
ACTR3_ENSSSCG00000015710_ENSSSCT00000017110_116_1340_2135,93,93,124,115,195,173,1735,461,2899,2900
ACTR5_ENSSSCG00000007349_ENSSSCT00000008041_0_1800_3506,6,8,10,3,23,6,33,26,88,111
ACTR6_ENSSSCG00000025682_ENSSSCT00000000963_52_1240_2329,3,5,6,3,10,7,86,13,165,175
ACTR8_ENSSSCG00000011458_ENSSSCT00000041214_87_1959_2028,8,20,26,13,22,18,123,43,203,303
ACTRT2_ENSSSCG00000003357_ENSSSCT00000003726_0_1131_1134,0,1,0,0,0,0,0,0,0,0
ACTRT3_ENSSSCG00000039994_ENSSSCT00000065843_199_1384_2388,0,0,0,0,2,0,0,0,0,0
ACVR1B_ENSSSCG00000000233_ENSSSCT00000000252_27_1632_2949,9,5,1,1,9,2,9,11,22,51
ACVR1C_ENSSSCG00000015873_ENSSSCT00000060597_24_1509_5436,1,1,0,0,0,0,0,0,0,0
ACVR1_ENSSSCG00000015874_ENSSSCT00000060330_306_1833_2917,2,1,1,2,5,6,1,6,24,27
ACVR2A_ENSSSCG00000015669_ENSSSCT00000017067_406_1945_5504,0,4,3,3,4,1,5,0,12,11
ACVR2B_ENSSSCG00000011257_ENSSSCT00000012324_33_1605_3164,1,2,0,3,4,3,0,0,2,1
ACVRL1_ENSSSCG00000000232_ENSSSCT00000095024_104_1616_3854,58,20,36,9,23,16,44,24,550,252
ACY1_ENSSSCG00000023325_ENSSSCT00000088369_152_1373_1438,3,2,3,5,11,1,37,17,21,31
ACYP2_ENSSSCG00000025224_ENSSSCT00000030730_173_554_906,1,3,1,1,5,2,33,7,57,48
ADA2_ENSSSCG00000035218_ENSSSCT00000041303_374_1898_2504,68,48,38,19,51,27,151,117,1205,785
ADAD1_ENSSSCG00000009089_ENSSSCT00000009955_315_2046_2055,0,0,0,1,0,0,0,0,0,0
ADAD2_ENSSSCG00000034385_ENSSSCT00000002964_0_1713_1859,0,0,0,0,0,0,0,0,0,0
ADAL_ENSSSCG00000004710_ENSSSCT00000005202_168_1233_1868,3,2,15,3,6,4,12,1,34,50
ADAM10_ENSSSCG00000004595_ENSSSCT00000088907_262_2506_6824,24,33,58,45,71,52,330,34,667,680
ADAM11_ENSSSCG00000017349_ENSSSCT00000018885_28_2353_4958,0,5,0,1,4,3,3,2,2,0
ADAM12_ENSSSCG00000010746_ENSSSCT00000074893_332_3068_8007,0,1,3,2,3,2,0,0,0,8
ADAM15_ENSSSCG00000006533_ENSSSCT00000026700_74_2735_3013,17,21,22,14,32,25,114,85,352,273
ADAM17_ENSSSCG00000008641_ENSSSCT00000072504_129_2484_3905,29,42,49,43,87,47,107,39,200,257
ADAM18_ENSSSCG00000007008_ENSSSCT00000007676_169_2608_2996,0,0,0,1,0,0,0,0,0,0
ADAM19_ENSSSCG00000017052_ENSSSCT00000064509_90_2904_6626,155,129,68,106,179,76,239,278,740,490
ADAM21_ENSSSCG00000002322_ENSSSCT00000002584_0_2151_2154,0,0,0,4,1,0,0,0,0,0
ADAM22_ENSSSCG00000015297_ENSSSCT00000056370_58_2968_6864,0,0,2,0,1,0,0,0,2,0
ADAM23_ENSSSCG00000016131_ENSSSCT00000017564_274_2773_6430,2,3,0,0,0,1,0,0,0,0
ADAM28_ENSSSCG00000009644_ENSSSCT00000075796_123_2508_2668,5,0,0,2,1,0,32,3,14,34
ADAM29_ENSSSCG00000053572_ENSSSCT00000106789_0_2241_2244,0,0,1,0,0,0,0,0,0,0
ADAM2_ENSSSCG00000045907_ENSSSCT00000017212_89_2294_2612,0,0,0,0,0,1,0,0,0,0
ADAM33_ENSSSCG00000007145_ENSSSCT00000040912_43_2413_3228,0,1,2,0,2,0,8,8,0,4
ADAM3A_ENSSSCG00000007009_ENSSSCT00000007677_77_2306_2309,0,1,0,0,0,1,0,0,0,0
ADAM7_ENSSSCG00000009646_ENSSSCT00000088459_199_2374_3639,0,1,1,0,1,0,0,0,0,0
ADAM8_ENSSSCG00000010772_ENSSSCT00000033889_185_2690_3195,4,6,7,17,28,11,98,43,176,154
ADAM9_ENSSSCG00000015808_ENSSSCT00000017216_121_2578_3623,24,20,21,20,33,15,45,12,122,124
ADAMDEC1_ENSSSCG00000009645_ENSSSCT00000055181_73_1444_1478,0,1,0,0,2,0,18,2,10,0
ADAMTS10_ENSSSCG00000026994_ENSSSCT00000063527_401_3707_4342,10,27,24,36,47,31,62,66,404,560
ADAMTS12_ENSSSCG00000016816_ENSSSCT00000024262_326_5117_8826,0,4,0,1,3,1,10,0,28,10
ADAMTS13_ENSSSCG00000021241_ENSSSCT00000022734_180_4575_4871,2,2,2,3,3,4,4,2,13,12
ADAMTS14_ENSSSCG00000010272_ENSSSCT00000011243_51_3720_5145,0,2,1,4,5,0,2,2,6,19
ADAMTS15_ENSSSCG00000015250_ENSSSCT00000016619_413_3263_5865,2,7,7,3,10,4,3,4,23,30
ADAMTS16_ENSSSCG00000017109_ENSSSCT00000018627_109_3847_4879,0,1,2,1,0,0,0,0,0,0
ADAMTS17_ENSSSCG00000038452_ENSSSCT00000041094_93_3456_6220,0,0,0,0,4,0,0,0,2,9
ADAMTS18_ENSSSCG00000038627_ENSSSCT00000063815_199_3868_5749,0,1,1,2,1,4,0,0,0,0
ADAMTS19_ENSSSCG00000014259_ENSSSCT00000015580_199_3820_4964,2,7,4,3,15,5,28,8,0,2
ADAMTS20_ENSSSCG00000000795_ENSSSCT00000000862_333_6078_6499,0,0,1,0,0,1,0,0,1,0
