Transcript,TE_H,TE_W,log2_fold_change,regulation,ensembl_gene_id,external_gene_name,gene_biotype,description
ENSSSCT00000094856,2.7347834388155,0.849238308219232,-1.68718523761985,down,ENSSSCG00000040559,ZNF691,protein_coding,zinc finger protein 691 [Source:UniProtKB Gene Name;Acc:A0A5G2QQN2]
ENSSSCT00000094961,1.46204837308536,1.02427428652764,-0.513388943934696,down,ENSSSCG00000010799,COG7,protein_coding,component of oligomeric golgi complex 7 [Source:VGNC Symbol;Acc:VGNC:86859]
ENSSSCT00000095013,3.80652928516462,1.31198419446539,-1.53672583763307,down,ENSSSCG00000058042,ELMO1,protein_coding,engulfment and cell motility 1 [Source:UniProtKB Gene Name;Acc:F1SIM4]
ENSSSCT00000095066,1.20439407987201,0.656186841638611,-0.876128952477837,down,ENSSSCG00000035090,RAC1,protein_coding,Rac family small GTPase 1 [Source:VGNC Symbol;Acc:VGNC:92047]
ENSSSCT00000095215,3.71635591504341,1.41880208079507,-1.38921532387697,down,ENSSSCG00000032111,RPL7,protein_coding,ribosomal protein L7 [Source:NCBI gene (formerly Entrezgene);Acc:414418]
ENSSSCT00000095340,2.63225925656922,0.251186984847634,-3.389467971424,down,ENSSSCG00000056336,,protein_coding,
ENSSSCT00000095385,1.76033819012094,0.522216238372714,-1.75313339687565,down,ENSSSCG00000059703,,protein_coding,
ENSSSCT00000095523,2.02690842159966,0.489273544225154,-2.05056772616184,down,ENSSSCG00000058121,OCIAD1,protein_coding,OCIA domain containing 1 [Source:UniProtKB Gene Name;Acc:A0A8W4FAV4]
ENSSSCT00000095554,3.34392404754619,1.84343988202814,-0.859141710780922,down,ENSSSCG00000031874,REM2,protein_coding,RRAD and GEM like GTPase 2 [Source:VGNC Symbol;Acc:VGNC:92210]
ENSSSCT00000095599,2.10959936098692,0.484178632734861,-2.12335772096699,down,ENSSSCG00000011642,RYK,protein_coding,receptor like tyrosine kinase [Source:VGNC Symbol;Acc:VGNC:92533]
ENSSSCT00000095611,0.181821806860409,0.824722176730019,2.18138296204624,up,ENSSSCG00000058347,,protein_coding,
ENSSSCT00000095646,1.23490457062676,0.593273356856262,-1.05763065959265,down,ENSSSCG00000058919,MAFB,protein_coding,MAF bZIP transcription factor B [Source:UniProtKB Gene Name;Acc:A0A8W4FNM6]
ENSSSCT00000095709,12.7307834747914,3.48033678817535,-1.87102238208355,down,ENSSSCG00000054693,,protein_coding,H2A clustered histone 8 [Source:UniProtKB Gene Name;Acc:A0A480JJE7]
ENSSSCT00000095806,3.85779956786126,2.49702807030874,-0.62756615065768,down,ENSSSCG00000062685,ATAD1,protein_coding,ATPase family AAA domain containing 1 [Source:UniProtKB Gene Name;Acc:A0A4X1V6Z6]
ENSSSCT00000095815,1.46975262508723,0.410339679809328,-1.84068278009223,down,ENSSSCG00000002628,CILK1,protein_coding,ciliosis associated kinase 1 [Source:VGNC Symbol;Acc:VGNC:86702]
ENSSSCT00000095973,8.07553639297795,2.2939557653015,-1.81572051771185,down,ENSSSCG00000053606,,protein_coding,
ENSSSCT00000095991,2.47520388952845,1.30193835379222,-0.926886229802499,down,ENSSSCG00000014881,CLNS1A,protein_coding,chloride nucleotide-sensitive channel 1A [Source:VGNC Symbol;Acc:VGNC:86773]
ENSSSCT00000096084,0.102810905534152,1.33315506821417,3.69677938995444,up,ENSSSCG00000036075,WASHC3,protein_coding,WASH complex subunit 3 [Source:VGNC Symbol;Acc:VGNC:109440]
ENSSSCT00000096124,2.06833175002267,8.42500752459858,2.02621036955448,up,ENSSSCG00000053757,SPAG7,protein_coding,sperm associated antigen 7 [Source:NCBI gene (formerly Entrezgene);Acc:100511958]
ENSSSCT00000096204,1.10379516434043,0.54352979065806994,-1.02204145420602,down,ENSSSCG00000016275,NCL,protein_coding,nucleolin [Source:VGNC Symbol;Acc:VGNC:96433]
ENSSSCT00000096410,4.61934710757224,1.21195890527517,-1.93034817624935,down,ENSSSCG00000003596,SNRNP40,protein_coding,small nuclear ribonucleoprotein U5 subunit 40 [Source:VGNC Symbol;Acc:VGNC:93294]
ENSSSCT00000096434,4.6818491442288,2.93858823268482,-0.671955232865462,down,ENSSSCG00000061194,,protein_coding,
ENSSSCT00000096471,2.98964535763078,1.37012673177388,-1.12566501351623,down,ENSSSCG00000062223,,protein_coding,
ENSSSCT00000096490,1.53941069274027,0.381193772825407,-2.01378171669262,down,ENSSSCG00000023297,SCRN3,protein_coding,secernin 3 [Source:VGNC Symbol;Acc:VGNC:96241]
ENSSSCT00000096509,5.51250506646084,1.42047061242406,-1.95633909216265,down,ENSSSCG00000000364,SARNP,protein_coding,SAP domain containing ribonucleoprotein [Source:VGNC Symbol;Acc:VGNC:99729]
ENSSSCT00000096634,14.9131038921632,7.1782080313405,-1.05488492013086,down,ENSSSCG00000002506,VRK1,protein_coding,VRK serine/threonine kinase 1 [Source:VGNC Symbol;Acc:VGNC:98408]
ENSSSCT00000096702,1.28975060982101,0.635343183046985,-1.02148414385239,down,ENSSSCG00000055689,PMVK,protein_coding,phosphomevalonate kinase [Source:NCBI gene (formerly Entrezgene);Acc:100152301]
ENSSSCT00000096703,2.18972768022697,0.859012770225081,-1.34999997999761,down,ENSSSCG00000056293,ZNHIT3,protein_coding,zinc finger HIT-type containing 3 [Source:UniProtKB Gene Name;Acc:F1S204]
ENSSSCT00000096722,0.585111229342878,2.57499716937572,2.13778803491836,up,ENSSSCG00000017506,FBXL20,protein_coding,F-box and leucine rich repeat protein 20 [Source:VGNC Symbol;Acc:VGNC:98006]
ENSSSCT00000096862,5.49133261185648,42.3286979643716,2.94640790830964,up,ENSSSCG00000061289,,protein_coding,
ENSSSCT00000096912,1.11988900229025,0.36194947926478,-1.62949550097451,down,ENSSSCG00000000295,NCKAP1L,protein_coding,NCK associated protein 1 like [Source:VGNC Symbol;Acc:VGNC:90610]
ENSSSCT00000096935,2.6326183555859,0.469534161763318,-2.48719635991473,down,ENSSSCG00000056128,PCBP1,protein_coding,poly(rC) binding protein 1 [Source:UniProtKB Gene Name;Acc:A0A8W4FAT6]
