,H6,H7,W10,W6
ENSSSCT00000005157,14.44083909,10.2750214,1.957048906,7.852568245
ENSSSCT00000025900,33.71161962,26.60475546,2.03737554,35.96945066
ENSSSCT00000042348,56.65361236,60.28543268,106.0607871,127.6692013
ENSSSCT00000022299,13.31898878,20.75461335,8.759625317,11.2472293
ENSSSCT00000045986,2.534755651,5.532020104,0,12.50840758
ENSSSCT00000041217,26.97234548,32.10886313,35.63958016,26.40040015
ENSSSCT00000051565,1.786693617,4.51792498,14.38287747,10.2596677
ENSSSCT00000017173,10.67848955,26.3592666,23.87827893,15.32967842
ENSSSCT00000062307,0.327613767,0,0,1.175778107
ENSSSCT00000038642,0,1.019735338,0,1.519676213
ENSSSCT00000103237,1.711552297,2.318527923,0,0
ENSSSCT00000056994,1.653599059,2.240022463,0,2.967313599
ENSSSCT00000001586,0.752098956,2.264042781,6.727104453,13.49609778
ENSSSCT00000017692,15.21063918,25.27529222,0,17.46870331
ENSSSCT00000064137,8.222436952,13.95112403,13.3718362,5.365387446
ENSSSCT00000015395,27.24771668,14.82737488,18.74735261,13.16400496
ENSSSCT00000075893,98.31058822,71.7599384,50.58111436,40.59087652
ENSSSCT00000053207,14.73645417,17.60135323,8.503828342,4.265152252
ENSSSCT00000095248,0,0,0,3.591584492
ENSSSCT00000072445,37.71681606,38.09860732,31.86138316,43.61679382
ENSSSCT00000004027,21.19817079,21.16324356,12.00036582,8.667164335
ENSSSCT00000107896,6.403359992,9.252493716,34.36468394,27.57734107
ENSSSCT00000044222,12.0240871,7.796082668,20.68244867,13.27797903
ENSSSCT00000004461,12.59666267,9.917465707,0,17.38782968
ENSSSCT00000017156,55.19170009,54.97840216,40.39027235,28.8113956
ENSSSCT00000051451,60.60994895,35.23251055,14.02039887,24.37768761
ENSSSCT00000106706,5.158763261,6.211768082,30.76150111,24.68582017
ENSSSCT00000065088,3.475068231,4.602837639,1.554127072,6.235863018
ENSSSCT00000011993,9.552330993,9.165775152,0,6.427970289
ENSSSCT00000011150,0.776000406,0,0,2.784999839
ENSSSCT00000017859,0,1.073079158,0,3.198345314
ENSSSCT00000080963,20.98273717,27.03061085,6.8999576,12.73544998
ENSSSCT00000051631,102.2797818,110.6749547,67.99452558,64.48588307
ENSSSCT00000078936,55.83417554,48.40633907,14.98216403,16.03073078
ENSSSCT00000056819,39.59699368,36.21809477,34.05509219,27.32889655
ENSSSCT00000071282,7.544932784,6.469622375,9.202527721,9.846591192
ENSSSCT00000004605,22.51174599,34.43300679,4.08151977,14.19332144
ENSSSCT00000107632,234.0985641,109.6650295,98.11723941,86.67635864
ENSSSCT00000041688,0.527010348,0.317291751,0,1.891395574
ENSSSCT00000031031,36.67036075,24.41539469,3.858774875,10.83820903
ENSSSCT00000002675,88.85893404,95.90565602,67.84822213,108.8951416
ENSSSCT00000036715,2.788874555,3.358138582,4.157487143,0
ENSSSCT00000047650,0,0,35.60978118,28.57652009
ENSSSCT00000000723,1.849859553,0,0,6.638989516
ENSSSCT00000011854,4.787871785,19.45745002,0,34.36653397
ENSSSCT00000049035,2.458202628,0,0,0
ENSSSCT00000107795,59.28104834,58.63478195,75.74797384,174.7627645
ENSSSCT00000089571,65.38508316,45.9847476,15.52653966,39.45636423
ENSSSCT00000053389,16.69337066,5.912004474,4.391554784,3.524182102
ENSSSCT00000011057,1.819232739,0.365095641,0,0
ENSSSCT00000075083,2.325537724,4.200338417,15.60047556,0
ENSSSCT00000065886,139.2062535,108.5414554,30.61775578,40.95077645
ENSSSCT00000026197,37.89022671,29.72496544,51.34952772,16.48300845
ENSSSCT00000028258,2.034845508,3.062746762,4.550138706,3.651444234
ENSSSCT00000103473,32.18755622,28.0658976,29.78272608,91.61805532
ENSSSCT00000051925,16.23866859,26.07106604,0,0
ENSSSCT00000041657,0,0.532651611,0,0
ENSSSCT00000097139,0,0.452344137,0,0
ENSSSCT00000023963,0,0.402404684,0,0
ENSSSCT00000054545,0,0,0,6.229952247
ENSSSCT00000076024,109.7203041,68.00107349,50.51255304,28.95418335
ENSSSCT00000046334,26.30684248,17.05662285,9.049999637,7.262541018
ENSSSCT00000002782,0.505900817,2.741242959,0,5.446905763
ENSSSCT00000045636,2.298779445,1.845336961,10.28064812,0
ENSSSCT00000038778,39.89651708,42.70238149,9.912556335,45.73972505
ENSSSCT00000010337,19.44978514,17.27505114,9.473474909,12.44025165
ENSSSCT00000063559,2.955510479,1.652294507,1.888241999,3.030593485
ENSSSCT00000081228,72.30445279,106.4458961,169.9417799,204.5650602
ENSSSCT00000053504,8.410383272,10.12710755,16.9258891,21.12890808
ENSSSCT00000064398,2.14445077,2.582175256,3.836182516,3.078500993
ENSSSCT00000002526,3.431121232,4.647915462,0,6.157001987
ENSSSCT00000041802,1.263007557,1.615862947,0.706056006,1.133206831
ENSSSCT00000037683,6.004462156,16.52592164,7.672365032,6.157001987
ENSSSCT00000058689,64.84819128,48.44160781,24.16794985,62.49357017
ENSSSCT00000015115,69.0326093,65.60575308,25.51479648,51.18847057
ENSSSCT00000030484,28.39029735,35.64718618,10.02376298,11.73079994
ENSSSCT00000056088,46.0052028,21.30606443,15.82656941,38.10202679
ENSSSCT00000088888,89.41856319,134.5883084,0,6.171455043
ENSSSCT00000028192,32.55752813,41.90682467,22.5937922,53.38663294
ENSSSCT00000042479,146.5088766,97.87363901,89.75616078,64.8256401
ENSSSCT00000077521,42.22157827,29.8684007,28.32362999,11.36472557
ENSSSCT00000098087,3.412473834,0,0,0
ENSSSCT00000017987,0,0.676434868,0,0
ENSSSCT00000052191,0,1.465234332,0,0
ENSSSCT00000003878,26.80040426,11.35457336,4.439159714,21.37430771
ENSSSCT00000003549,21.23317052,33.55705148,53.41467177,42.86478014
ENSSSCT00000050545,73.2544383,72.58709827,105.7907249,125.9748261
