Transcript,TE_H,TE_W,log2_fold_change,regulation
ENSSSCT00000004039,3.28783389774451,1.52363881233083,-1.10961647162193,down
ENSSSCT00000004041,4.98761572029469,0.799571870040923,-2.64105069221469,down
ENSSSCT00000004054,0.544374891472632,4.19317366615231,2.94537015144828,up
ENSSSCT00000004063,0.981326155484351,0.358504755988088,-1.45274045499272,down
ENSSSCT00000004066,1.40426879926631,0.527535240665714,-1.41247973896552,down
ENSSSCT00000004070,1.38203854668868,0.486558619642901,-1.5061123210546,down
ENSSSCT00000004090,0.263159476295817,1.36348346316349,2.37328795090976,up
ENSSSCT00000004109,3.0370462049933,1.84573204271534,-0.718475735054273,down
ENSSSCT00000004130,3.14951471034064,1.56973726821612,-1.00460643860084,down
ENSSSCT00000004139,6.04969320197036,2.58476757643906,-1.2268274223326,down
ENSSSCT00000004151,2.86408081993787,1.03583306891154,-1.46728068152939,down
ENSSSCT00000004169,4.56078790127607,2.51652497840407,-0.857850161709965,down
ENSSSCT00000004190,6.8798967626972,1.83085375340888,-1.90987036167811,down
ENSSSCT00000004194,4.31572717929918,2.13022146226206,-1.01860024323974,down
ENSSSCT00000004195,5.98667037340077,3.34762808352997,-0.838614581979985,down
ENSSSCT00000004200,0.166126520004041,1.84926592800955,3.4765983971231,up
ENSSSCT00000004203,6.22533392502752,3.38640260376318,-0.878397721941787,down
ENSSSCT00000004204,5.77279745899789,1.68519203312762,-1.77635760809817,down
ENSSSCT00000004271,1.06358187933526,0.337908724423004,-1.65422559789447,down
ENSSSCT00000004279,0.499680575792969,2.43212750938241,2.28314082504157,up
ENSSSCT00000004332,1.09166394909116,0.237716875966425,-2.19921258285248,down
ENSSSCT00000004337,1.34221186073403,0.862921793712069,-0.637310691446426,down
ENSSSCT00000004358,2.22447732454505,0.985179588392958,-1.17500774977546,down
ENSSSCT00000004369,1.10727992570888,6.0851844902784,2.45828101465108,up
ENSSSCT00000004385,5.14221155526704,0.766090409927774,-2.74680239865192,down
ENSSSCT00000004405,2.35383588045164,1.34277016910238,-0.809801341305911,down
ENSSSCT00000004475,0.182529062120722,1.07895886346215,2.56344176941881,up
ENSSSCT00000004482,2.09566035162602,24.9447709568208,3.57326060245189,up
ENSSSCT00000004487,4.08533581011543,2.45443747839387,-0.735062253626865,down
ENSSSCT00000004519,4.52350414881583,1.03263622473326,-2.13110868101856,down
ENSSSCT00000004521,3.79462051882202,0.96238237680159,-1.97927348692025,down
ENSSSCT00000004541,4.71081286782062,0.894868037808719,-2.39622916818979,down
ENSSSCT00000004544,3.40847296083811,1.72189116345879,-0.985131581914988,down
ENSSSCT00000004580,1.1383134824814,0.327335467396851,-1.79805608449214,down
ENSSSCT00000004581,16.2749545640727,3.99891489295051,-2.02497303334553,down
ENSSSCT00000004582,1.72177603232474,0.528885504699583,-1.70287014924391,down
ENSSSCT00000004603,1.06959138188792,0.61773881744393,-0.791990851579682,down
ENSSSCT00000004605,3.48323433365474,1.25985755839898,-1.46716690367802,down
